Cell,Site,AltFreq,AltPos,PoiWin,HmmWin,PoiWinPr,HmmWinPr,HmmMidAlph,SwiRate,DivRate,PrStartA,PrA2B,PrB2A,PrSwiMajor,PrDivMajor,PvalSepRank,PvalSepPoi,MinSampSing,PrAlpha0,PrAlpha10,PrAlpha20,PrAlpha30,PrAlpha40,PrAlpha50,PrAlpha60,PrAlpha70,PrAlpha80,PrAlpha90,PrAlpha100,Swi40.60,Swi60.80,Swi80.100,Div40.60,Div60.80,Div80.100,PowSwi,PowAllA,PowAllB,PowAve,ClarityA,ClarityB,MinPow,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,Comments,set
PSIC031711Loc_DoubleSound,1,1100,24,Single,Divide,0.42,0.51,0.45,0.5,0.5,0.48,0.82,0.81,0.49,0.51,0.14,0.31,13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,1,0,0,3,0,0,0.38,0.79,0.62,0.71,0.28,0.28,0.4,-0.9824,0.715,0.37,0.27,0.26,0.04,0.42,,JA
PSIC092710Loc_DoubleSound,1,903,6,Single,Divide,0.4,0.51,0.45,0.5,0.5,0.51,0.82,0.82,0.49,0.51,0.03,0.27,22,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,4,0,0,0.42,0.79,0.54,0.75,0.27,0.27,0.4,-0.898,0.6014,0.36,0.28,0.27,0.05,0.4,,JA
YKIC102511Loc_DoubleSound,1,1100,24,Single,Divide,0.4,0.98,0.39,0.11,0.89,0.5,0.81,0.82,0.02,0.98,0.02,0,4,0.19,0.13,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0,4,0.38,1,1,1,0.41,0.37,0.4,33.7632,0.1758,0.15,0.22,0.14,0.24,0.4,,JA
PSIC051111Loc_DoubleSound,1,609,-6,Single,Divide,0.38,0.76,0.43,0.29,0.71,0.57,0.8,0.83,0.24,0.76,0,0,12,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.11,0.12,0,0,0,0,2,1,0.42,1,1,0.75,0.32,0.33,0.4,-0.9986,0.0867,0.25,0.3,0.26,0.05,0.38,,JA
PSIC111510Loc_DoubleSound,1,903,-6,Single,Divide,0.38,0.68,0.46,0.35,0.65,0.48,0.82,0.81,0.32,0.68,0.01,0.01,13,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0,0,0,0,5,0,0.42,1,0.67,0.71,0.32,0.31,0.4,2.6543,0.1453,0.73,0.2,0.22,0.19,0.38,,JA
YKIC081911Loc_DoubleSound,1,609,-6,Single,Divide,0.37,0.89,0.45,0.18,0.82,0.48,0.82,0.81,0.11,0.89,0.01,0,6,0.11,0.12,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0,0,0,0,0,5,0.42,1,1,0.75,0.41,0.41,0.4,10.2744,0.2225,0.22,0.18,0.15,0.3,0.37,,JA
YKIC090111_1Loc_DoubleSound,1,1100,-24,Single,Divide,0.37,0.95,0.46,0.14,0.86,0.5,0.82,0.81,0.05,0.95,0,0,6,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.11,0.1,0.1,0.12,0,0,0,0,0,3,0.38,1,1,1,0.39,0.41,0.4,92.4182,0.7144,0.23,0.23,0.31,0.09,0.37,,JA
YKIC100111Loc_DoubleSound,1,500,-6,Single,Divide,0.36,0.59,0.46,0.44,0.56,0.42,0.83,0.76,0.41,0.59,0,0,6,0.1,0.1,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.08,1,0,0,1,2,0,0.38,1,1,0.96,0.38,0.43,0.4,21.0769,0.722,0.33,0.19,0.31,0.14,0.36,,JA
PSIC102010Loc_DoubleSound,1,609,-6,Single,Divide,0.35,0.56,0.45,0.45,0.55,0.45,0.83,0.81,0.44,0.56,0.01,0.08,8,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0,0,0,3,0,0,0.42,0.96,0.83,0.67,0.29,0.29,0.4,5.2522,0.0305,0.67,0.21,0.21,0.24,0.35,,JA
YKIC102511_1Loc_DoubleSound,1,609,6,Single,Divide,0.35,0.86,0.46,0.22,0.78,0.51,0.82,0.81,0.14,0.86,0.01,0,4,0.1,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0,0,0,0,1,3,0.42,1,1,0.92,0.36,0.33,0.4,-2.5026,0.0171,0.15,0.3,0.28,0.07,0.35,,JA
PSIC101410Loc_DoubleSound,1,1100,6,Single,Divide,0.33,0.56,0.45,0.46,0.54,0.46,0.82,0.81,0.44,0.56,0,0.15,13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,4,0,0,0.38,0.58,0.83,0.46,0.28,0.28,0.4,-1.5469,0.248,0.18,0.32,0.29,0.05,0.33,,JA
PSIC101510Loc_DoubleSound,1,903,24,Single,Divide,0.33,0.61,0.46,0.42,0.58,0.51,0.82,0.81,0.39,0.61,0.01,0,8,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0,0,0,1,1,0,0.38,0.79,0.83,0.67,0.29,0.29,0.4,1.1271,0.1554,0.56,0.27,0.28,0.11,0.33,,JA
PSIC092910Loc_DoubleSound,1,1100,6,Single,Divide,0.32,0.5,0.44,0.5,0.5,0.56,0.83,0.82,0.5,0.5,0.01,0.04,18,0.1,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.1,1,0,0,1,0,0,0.38,0.62,0.75,0.67,0.28,0.28,0.4,0.358,0.1519,0.38,0.28,0.28,0.12,0.32,,JA
PSIC102610Loc_DoubleSound,1,609,-24,Single,Divide,0.32,0.52,0.47,0.49,0.51,0.46,0.81,0.82,0.48,0.52,0.07,0.15,8,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0,0,0,3,0,0,0.42,1,0.83,0.83,0.27,0.27,0.4,-1.474,0.1541,0.56,0.29,0.29,0.09,0.32,,JA
PSIC111010Loc_DoubleSound,1,903,24,Single,Divide,0.31,0.56,0.46,0.45,0.55,0.48,0.82,0.81,0.44,0.56,0.02,0.05,6,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0,0,0,2,0,0,0.38,0.62,0.79,0.75,0.28,0.27,0.4,0.8916,0.3233,0.73,0.3,0.28,0.11,0.31,,JA
PSIC092410Loc_DoubleSound,1,1100,-24,Single,Divide,0.3,0.62,0.44,0.41,0.59,0.39,0.82,0.81,0.38,0.62,0,0,11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0,0,0,2,4,0,0.42,0.79,0.96,0.58,0.34,0.35,0.4,-4.0157,0.0609,0.03,0.29,0.27,0.15,0.3,,JA
PSIC110210Loc_DoubleSound,1,1100,-6,Single,Divide,0.28,0.51,0.46,0.5,0.5,0.46,0.81,0.82,0.49,0.51,0.03,0.08,12,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,1,0,0,1,0,0,0.38,0.46,0.67,0.67,0.28,0.28,0.4,-1.8477,0.144,0.7,0.24,0.24,0.24,0.28,,JA
YKIC081211Loc_DoubleSound,1,903,24,Single,Divide,0.28,0.58,0.46,0.44,0.56,0.51,0.81,0.83,0.42,0.58,0.07,0.06,3,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0,0,0,2,1,0,0.42,1,0.71,0.75,0.27,0.28,0.4,-10.9732,0.1313,0.06,0.26,0.28,0.18,0.28,,JA
PSIC111810Loc_DoubleSound,1,1100,-24,Average,Switch,0.93,0.51,0.48,0.5,0.5,0.62,0.81,0.8,0.51,0.49,0,0,9,0.08,0.09,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,1,1,0,0,2,0,0.38,1,1,0.92,0.41,0.4,0.4,43.6504,0.0773,0.42,0.02,0.93,0.01,0.04,,JA
PSIC111210Loc_DoubleSound,1,903,6,Average,Switch,0.3,0.53,0.45,0.51,0.49,0.5,0.82,0.82,0.53,0.47,0.01,0.13,12,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,4,0,0,0,0,0,0.38,0.67,0.83,0.5,0.29,0.29,0.4,-1.9857,0.1952,0.45,0.3,0.3,0.09,0.3,,JA
YKIC110311Loc_DoubleSound,1,609,-6,Mixture,Switch,0.59,0.63,0.45,0.59,0.41,0.46,0.81,0.83,0.63,0.37,0.01,0.03,16,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.1,0.1,6,6,0,0,0,0,0.38,1,0.88,0.62,0.34,0.36,0.4,-2.9013,0.5911,0.04,0.59,0.21,0.02,0.19,,JA
YKIC093011Loc_DoubleSound,1,903,6,Mixture,Switch,0.45,0.56,0.45,0.54,0.46,0.29,0.82,0.82,0.56,0.44,0,0,12,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,3,1,0,1,0,0,0.38,1,1,0.79,0.37,0.38,0.4,2.5357,0.2307,0.01,0.45,0.27,0.03,0.26,,JA
PSIC110310Loc_DoubleSound,1,903,6,Mixture,Switch,0.42,0.58,0.48,0.57,0.43,0.71,0.83,0.82,0.58,0.42,0,0,13,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,3,3,0,0,0,0,0.38,1,1,0.75,0.36,0.34,0.4,-0.0937,0.0133,0.14,0.42,0.2,0.09,0.29,,JA
YKIC082611_1Loc_DoubleSound,1,609,-6,Outside,Switch,0.9,0.59,0.47,0.57,0.43,0.43,0.82,0.85,0.59,0.41,0,0,12,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.1,4,2,0,1,0,0,0.42,1,1,0.92,0.46,0.45,0.4,-1.5312,0.0171,0.25,0.02,0.02,0.9,0.06,,JA
YKIC082611Loc_DoubleSound,1,609,-6,Outside,Switch,0.84,0.67,0.46,0.64,0.36,0.51,0.81,0.81,0.67,0.33,0.01,0,4,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0,3,0,0,0,0,0.38,1,1,0.96,0.36,0.34,0.4,0.5141,0.0313,0.29,0.05,0.03,0.84,0.08,,JA
YKIC082611_1Loc_DoubleSound,1,903,-24,Single,Switch,0.49,0.6,0.5,0.58,0.42,0.67,0.86,0.87,0.6,0.4,0,0,12,0.07,0.08,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.08,6,3,0,1,0,0,0.38,1,1,1,0.52,0.52,0.4,3.2565,0.0643,0.42,0.22,0.28,0,0.49,,JA
PSIC111510Loc_DoubleSound,1,1100,6,Single,Switch,0.39,0.62,0.45,0.59,0.41,0.47,0.82,0.82,0.62,0.38,0.02,0.09,16,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,3,0,0,0,0,0.38,0.92,0.96,0.83,0.29,0.3,0.4,3.0706,0.2731,0.09,0.26,0.3,0.05,0.39,,JA
YKIC111111_3Loc_DoubleSound,1,903,24,Single,Switch,0.39,0.71,0.47,0.66,0.34,0.68,0.84,0.82,0.71,0.29,0.01,0.03,7,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0,2,0,0,0,0,0.54,0.71,0.71,0.42,0.29,0.3,0.4,3.9244,0.1737,0.34,0.29,0.28,0.05,0.39,,JA
PSIC111210Loc_DoubleSound,1,500,-24,Single,Switch,0.37,0.52,0.45,0.52,0.48,0.6,0.82,0.8,0.52,0.48,0.01,0.06,13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,2,0,0,0,0,0,0.38,0.88,0.83,0.83,0.28,0.29,0.4,2.495,0.1343,0.03,0.28,0.27,0.08,0.37,,JA
PSIC101510Loc_DoubleSound,1,500,-24,Single,Switch,0.34,0.55,0.45,0.54,0.46,0.48,0.82,0.81,0.55,0.45,0.03,0.22,11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,3,0,0,0,0,0,0.38,0.62,0.71,0.58,0.28,0.28,0.4,-1.5796,0.084,0.24,0.29,0.28,0.09,0.34,,JA
PSIC110210Loc_DoubleSound,1,1100,-24,Single,Switch,0.33,0.55,0.45,0.54,0.46,0.6,0.81,0.82,0.55,0.45,0.01,0.01,6,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,2,2,0,1,0,0,0.42,1,0.83,0.67,0.35,0.34,0.4,-1.9676,0.2231,0.08,0.19,0.18,0.31,0.33,,JA
YKIC092311_1Loc_DoubleSound,1,609,-6,Single,Switch,0.33,0.67,0.45,0.64,0.36,0.46,0.82,0.83,0.67,0.33,0.02,0.01,5,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0,2,0,0,0,0,0.38,0.96,1,0.75,0.31,0.32,0.4,2.756,0.7269,0.43,0.25,0.18,0.24,0.33,,JA
YKIC081211Loc_DoubleSound,1,500,-24,Single,Switch,0.28,0.72,0.45,0.67,0.33,0.51,0.83,0.84,0.72,0.28,0.11,0.08,2,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,2,0,0,0,0,0.38,1,1,0.96,0.3,0.26,0.4,-0.9247,0.562,0,0.23,0.24,0.25,0.28,,JA
YKIC110411_1Loc_DoubleSound,1,500,-6,Average,Divide,1,1,0.59,0.04,0.96,0.5,0.81,0.81,0,1,0,0,21,0.05,0.06,0.07,0.1,0.12,0.12,0.12,0.13,0.09,0.08,0.06,0,0,0,0,0,16,0.25,1,1,1,0.63,0.6,0.3,166.3212,0.7719,0.02,0,1,0,0,,JA
YKIC110411_3Loc_DoubleSound,1,500,-24,Average,Divide,0.82,0.76,0.54,0.29,0.71,0.56,0.79,0.79,0.24,0.76,0.01,0,4,0.07,0.07,0.08,0.09,0.11,0.13,0.11,0.1,0.09,0.08,0.07,0,0,0,0,5,1,0.29,1,1,1,0.35,0.41,0.3,18.0213,0.3016,0.42,0.05,0.82,0,0.13,,JA
YKIC092311_1Loc_DoubleSound,1,609,6,Average,Divide,0.8,0.85,0.51,0.23,0.77,0.51,0.81,0.81,0.15,0.85,0,0,5,0.08,0.08,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.08,0.08,0,0,0,0,0,2,0.33,1,1,1,0.37,0.36,0.3,44.3978,0.4275,0.33,0.05,0.8,0.06,0.09,,JA
YKIC120211_1Loc_DoubleSound,1,500,-6,Average,Divide,0.79,0.99,0.49,0.07,0.93,0.51,0.81,0.82,0.01,0.99,0.01,0,6,0.04,0.05,0.05,0.06,0.08,0.1,0.12,0.13,0.14,0.12,0.11,0,0,0,0,0,13,0.25,1,1,0.92,0.39,0.42,0.3,14.3071,0.5484,0.22,0.08,0.79,0,0.13,,JA
YKIC102511_1Loc_DoubleSound,1,1100,24,Average,Divide,0.69,0.76,0.51,0.3,0.7,0.62,0.82,0.82,0.24,0.76,0.02,0,4,0.07,0.08,0.09,0.09,0.1,0.11,0.11,0.1,0.09,0.08,0.07,0,0,0,0,3,1,0.25,1,1,0.96,0.41,0.35,0.3,14.4261,0.0177,0.3,0.17,0.69,0.04,0.1,,JA
YKIC092311Loc_DoubleSound,1,609,24,Average,Divide,0.58,0.52,0.46,0.48,0.52,0.29,0.82,0.81,0.48,0.52,0.01,0,5,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,2,1,0,0,0,1,0.25,1,1,1,0.38,0.4,0.3,17.0161,0.4364,0.15,0.26,0.58,0.05,0.12,,JA
YKIC081911Loc_DoubleSound,1,903,-6,Average,Divide,0.57,0.94,0.52,0.15,0.85,0.51,0.81,0.82,0.06,0.94,0.01,0,4,0.07,0.07,0.08,0.09,0.1,0.11,0.11,0.11,0.11,0.09,0.08,0,0,0,0,0,5,0.25,1,1,0.88,0.37,0.43,0.3,10.8632,0.3014,0.22,0.13,0.57,0,0.3,,JA
YKIC110911_1Loc_DoubleSound,1,1100,24,Average,Divide,0.56,0.55,0.5,0.46,0.54,0.56,0.81,0.84,0.45,0.55,0,0,11,0.07,0.07,0.07,0.08,0.08,0.11,0.12,0.11,0.11,0.1,0.09,4,0,0,3,3,0,0.25,1,1,0.96,0.52,0.46,0.3,26.6865,0.2372,0.07,0.09,0.56,0.06,0.28,,JA
YKIC120211Loc_DoubleSound,1,1100,24,Average,Divide,0.55,0.81,0.51,0.26,0.74,0.55,0.83,0.81,0.19,0.81,0,0,5,0.09,0.1,0.1,0.11,0.11,0.11,0.1,0.08,0.08,0.07,0.06,0,0,0,0,4,3,0.25,1,1,0.92,0.42,0.37,0.3,16.4737,0.3373,0.44,0.12,0.55,0,0.33,,JA
PSIC111910Loc_DoubleSound,1,1100,6,Average,Divide,0.52,0.96,0.47,0.13,0.87,0.52,0.81,0.82,0.04,0.96,0,0,11,0.08,0.09,0.08,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0,0,0,0,0,10,0.25,1,1,0.96,0.48,0.47,0.3,37.7721,0.5724,0.44,0.48,0.52,0,0,,JA
YKIC120111Loc_DoubleSound,1,903,-6,Average,Divide,0.48,0.86,0.45,0.21,0.79,0.49,0.81,0.81,0.14,0.86,0.05,0,3,0.07,0.07,0.07,0.07,0.08,0.09,0.1,0.11,0.13,0.11,0.09,0,0,0,0,0,5,0.33,1,1,1,0.38,0.35,0.3,6.5783,0.3051,0.13,0.13,0.48,0.11,0.28,,JA
YKIC082411Loc_DoubleSound,1,609,-6,Average,Divide,0.46,0.85,0.5,0.24,0.76,0.56,0.83,0.82,0.15,0.85,0,0,6,0.08,0.08,0.09,0.1,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0,0,0,0,1,3,0.33,1,1,1,0.39,0.39,0.3,17.9584,0.0771,0.05,0.42,0.46,0.02,0.1,,JA
PSIC111210Loc_DoubleSound,1,903,-24,Average,Divide,0.42,0.67,0.44,0.37,0.63,0.52,0.83,0.79,0.33,0.67,0,0,8,0.1,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0,0,0,1,3,0,0.33,1,1,0.88,0.38,0.36,0.3,25.9332,0.1622,0.03,0.2,0.42,0,0.38,,JA
PSIC061511Loc_DoubleSound,1,1100,-24,Average,Divide,0.41,0.77,0.46,0.29,0.71,0.5,0.82,0.8,0.23,0.77,0,0,8,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0,0,0,0,4,0,0.33,0.96,1,0.83,0.38,0.35,0.3,38.0206,0.0453,0.15,0.21,0.41,0,0.38,,JA
PSIC100510Loc_DoubleSound,1,903,24,Average,Divide,0.41,0.56,0.48,0.46,0.54,0.57,0.82,0.8,0.44,0.56,0,0,6,0.08,0.08,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,1,0,0,1,2,0,0.29,0.58,1,0.71,0.31,0.34,0.3,7.7208,0.7339,0.57,0.2,0.41,0.12,0.27,,JA
PSIC092110Loc_DoubleSound,1,500,6,Average,Divide,0.4,0.59,0.47,0.44,0.56,0.59,0.81,0.82,0.41,0.59,0,0.14,18,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0,0,0,12,0,0,0.25,0.92,0.83,0.71,0.3,0.29,0.3,2.226,0.0179,0.57,0.22,0.4,0.03,0.35,,JA
YKIC090811_1Loc_DoubleSound,1,1100,-6,Average,Divide,0.4,0.97,0.48,0.11,0.89,0.48,0.81,0.82,0.03,0.97,0.01,0,3,0.06,0.07,0.07,0.08,0.09,0.09,0.11,0.11,0.11,0.11,0.1,0,0,0,0,0,4,0.33,1,1,0.79,0.39,0.43,0.3,31.9048,0,0.07,0.19,0.4,0.05,0.36,,JA
YKIC110911Loc_DoubleSound,1,1100,-24,Average,Divide,0.4,0.58,0.47,0.43,0.57,0.51,0.82,0.81,0.42,0.58,0.01,0,3,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0,0,0,1,1,0,0.33,1,1,0.96,0.35,0.36,0.3,27.0707,0.4682,0.2,0.19,0.4,0.15,0.27,,JA
PSIC090710Loc_DoubleSound,1,609,6,Average,Divide,0.39,0.61,0.48,0.42,0.58,0.55,0.82,0.83,0.39,0.61,0,0,10,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0,0,0,3,3,0,0.33,1,1,0.88,0.36,0.39,0.3,12.9356,0.6138,0.87,0.16,0.39,0.11,0.34,,JA
PSIC091510Loc_DoubleSound,1,1100,6,Average,Divide,0.39,0.65,0.46,0.39,0.61,0.46,0.83,0.81,0.35,0.65,0.01,0.06,18,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0,0,0,1,21,0,0.25,0.92,0.88,0.62,0.3,0.3,0.3,-1.227,0.0641,0.79,0.25,0.39,0.06,0.31,,JA
PSIC110110Loc_DoubleSound,1,1100,-24,Average,Divide,0.39,0.78,0.47,0.27,0.73,0.55,0.82,0.82,0.22,0.78,0,0,10,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.07,0,0,0,0,2,1,0.33,1,1,0.96,0.38,0.36,0.3,43.1519,0.6394,0.53,0.24,0.39,0,0.36,,JA
YKIC120211Loc_DoubleSound,1,609,6,Average,Divide,0.39,0.73,0.47,0.32,0.68,0.55,0.82,0.82,0.27,0.73,0.02,0.08,6,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.09,0,0,0,0,4,0,0.25,0.96,1,0.75,0.31,0.31,0.3,3.6319,0.2191,0.16,0.27,0.39,0.09,0.26,,JA
PSIC102210Loc_DoubleSound,1,609,6,Average,Divide,0.38,0.53,0.47,0.47,0.53,0.44,0.82,0.82,0.47,0.53,0.01,0.01,5,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0,0,0,4,0,0,0.25,0.96,1,0.79,0.32,0.31,0.3,6.6089,0.4294,0.43,0.18,0.38,0.14,0.31,,JA
YKIC090811_1Loc_DoubleSound,1,903,6,Average,Divide,0.38,0.71,0.5,0.33,0.67,0.59,0.82,0.81,0.29,0.71,0.04,0.01,3,0.08,0.09,0.1,0.1,0.1,0.11,0.1,0.09,0.08,0.07,0.08,0,0,0,0,6,0,0.29,1,0.92,0.83,0.37,0.3,0.3,0.3165,0.2162,0.46,0.24,0.38,0.11,0.27,,JA
YKIC110911_1Loc_DoubleSound,1,500,-6,Average,Divide,0.38,0.83,0.49,0.23,0.77,0.56,0.82,0.81,0.17,0.83,0,0,8,0.09,0.1,0.1,0.1,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0,0,0,0,3,5,0.25,1,1,0.88,0.4,0.44,0.3,3.1902,0.867,0.07,0.27,0.38,0.03,0.33,,JA
PSIC090910Loc_DoubleSound,1,1100,-6,Average,Divide,0.36,0.56,0.48,0.46,0.54,0.47,0.81,0.82,0.44,0.56,0,0,10,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,1,0,0,3,0,0,0.33,1,1,0.71,0.32,0.34,0.3,10.7851,0.6311,0.24,0.18,0.36,0.14,0.32,,JA
YKIC090111_1Loc_DoubleSound,1,609,-24,Average,Divide,0.36,0.65,0.47,0.39,0.61,0.56,0.81,0.82,0.35,0.65,0.03,0.07,6,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0,0,0,1,3,0,0.25,0.96,1,0.83,0.33,0.3,0.3,4.9802,0.0669,0.21,0.26,0.36,0.04,0.34,,JA
YKIC113011_1Loc_DoubleSound,1,1100,-24,Average,Divide,0.35,0.8,0.49,0.26,0.74,0.51,0.81,0.82,0.2,0.8,0.08,0.05,4,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0,0,0,0,2,2,0.33,1,1,0.92,0.3,0.3,0.3,0.4683,0.1665,0.32,0.24,0.35,0.14,0.28,,JA
PSIC100610Loc_DoubleSound,1,903,-6,Average,Divide,0.34,0.55,0.45,0.46,0.54,0.48,0.82,0.82,0.45,0.55,0.01,0,10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,2,0,0,0.29,1,0.96,0.71,0.3,0.3,0.3,14.2169,0.4488,0.53,0.22,0.34,0.17,0.27,,JA
PSIC110110Loc_DoubleSound,1,903,-6,Average,Divide,0.34,0.52,0.47,0.48,0.52,0.55,0.82,0.81,0.48,0.52,0.04,0.03,3,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,1,0,0,1,0,0,0.29,0.67,1,0.62,0.31,0.3,0.3,2.3693,0.3045,0.48,0.23,0.34,0.17,0.25,,JA
YKIC082611_1Loc_DoubleSound,1,609,6,Average,Divide,0.33,0.84,0.49,0.23,0.77,0.57,0.8,0.82,0.16,0.84,0,0,5,0.06,0.06,0.07,0.07,0.09,0.1,0.11,0.12,0.12,0.11,0.09,0,0,0,0,3,4,0.29,1,1,0.96,0.41,0.44,0.3,-0.1729,0.435,0.35,0.26,0.33,0.08,0.33,,JA
YKIC090811_1Loc_DoubleSound,1,609,-24,Average,Divide,0.33,0.65,0.48,0.38,0.62,0.47,0.81,0.82,0.35,0.65,0.07,0.01,3,0.09,0.08,0.08,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0,0,0,0,2,0,0.29,0.92,1,0.67,0.3,0.32,0.3,2.7291,0.2923,0.14,0.24,0.33,0.17,0.26,,JA
PSIC100610Loc_DoubleSound,1,500,-24,Average,Divide,0.32,0.55,0.45,0.47,0.53,0.47,0.81,0.81,0.45,0.55,0.01,0.11,12,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,1,0,0,4,0,0,0.29,0.79,0.96,0.71,0.29,0.29,0.3,-0.3677,0.4873,0.23,0.29,0.32,0.1,0.29,,JA
PSIC091010Loc_DoubleSound,1,1100,6,Average,Divide,0.31,0.52,0.46,0.48,0.52,0.49,0.82,0.8,0.48,0.52,0.07,0.4,24,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0,0,0,10,0,0,0.25,0.83,0.83,0.5,0.28,0.27,0.3,-2.359,0.754,0.19,0.31,0.31,0.07,0.31,,JA
PSIC092910Loc_DoubleSound,1,609,24,Average,Divide,0.31,0.55,0.45,0.46,0.54,0.54,0.81,0.82,0.45,0.55,0,0.18,13,0.09,0.09,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0,0,0,7,0,0,0.29,0.83,0.83,0.71,0.29,0.28,0.3,-1.9509,0.7935,0.26,0.3,0.31,0.09,0.3,,JA
PSIC090910Loc_DoubleSound,1,903,6,Average,Divide,0.3,0.56,0.45,0.45,0.55,0.49,0.81,0.82,0.44,0.56,0.02,0.2,21,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,5,0,0,0.29,0.62,0.58,0.54,0.27,0.28,0.3,-2.0438,0.4053,0.34,0.29,0.3,0.12,0.29,,JA
PSIC092910Loc_DoubleSound,1,903,6,Average,Divide,0.3,0.54,0.45,0.47,0.53,0.43,0.81,0.82,0.46,0.54,0.04,0.28,14,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,4,0,0,0.25,0.75,0.67,0.75,0.27,0.28,0.3,-1.0721,0.5331,0.38,0.28,0.3,0.14,0.29,,JA
