Cell,Site,AltFreq,AltPos,PoiWin,HmmWin,PoiWinPr,HmmWinPr,HmmMidAlph,SwiRate,DivRate,PrStartA,PrA2B,PrB2A,PrSwiMajor,PrDivMajor,PvalSepRank,PvalSepPoi,MinSampSing,PrAlpha0,PrAlpha10,PrAlpha20,PrAlpha30,PrAlpha40,PrAlpha50,PrAlpha60,PrAlpha70,PrAlpha80,PrAlpha90,PrAlpha100,Swi40.60,Swi60.80,Swi80.100,Div40.60,Div60.80,Div80.100,PowSwi,PowAllA,PowAllB,PowAve,ClarityA,ClarityB,MinPow,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,Comments,set
YKIC110311Loc_DoubleSound,1,1100,24,Average,Divide,0.58,1,0.44,0.03,0.97,0.49,0.81,0.82,0,1,0,0,20,0.03,0.03,0.04,0.04,0.06,0.09,0.14,0.11,0.09,0.12,0.26,0,0,0,0,0,19,0.79,1,1,1,0.59,0.66,0.8,190.7014,0.0706,0.18,0.08,0.58,0.01,0.33,,JA
YKIC090911_1Loc_DoubleSound,1,1100,-6,Average,Divide,0.49,1,0.36,0.06,0.94,0.5,0.82,0.81,0,1,0,0,7,0.06,0.05,0.05,0.05,0.05,0.05,0.08,0.13,0.16,0.17,0.15,0,0,0,0,0,8,0.79,1,1,1,0.44,0.56,0.8,123.8713,0.073,0.62,0.12,0.49,0.08,0.31,,JA
YKIC093011Loc_DoubleSound,1,1100,6,Average,Divide,0.33,0.92,0.48,0.15,0.85,0.45,0.82,0.82,0.08,0.92,0,0,5,0.07,0.06,0.07,0.08,0.08,0.1,0.11,0.11,0.11,0.1,0.1,0,0,0,0,0,8,0.75,1,0.83,0.88,0.35,0.37,0.8,-2.546,0.4195,0.01,0.27,0.33,0.11,0.28,,JA
YKIC092911_1Loc_DoubleSound,1,1100,-6,Mixture,Divide,0.97,0.99,0.51,0.08,0.92,0.47,0.81,0.82,0.01,0.99,0,0,5,0.06,0.06,0.07,0.08,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0,0,0,0,0,8,0.83,1,1,1,0.42,0.5,0.8,5.9476,0.4288,0.49,0.97,0.01,0,0.02,,JA
YKIC110411Loc_DoubleSound,1,609,-24,Mixture,Divide,0.78,0.98,0.38,0.11,0.89,0.55,0.76,0.81,0.02,0.98,0,0,17,0.04,0.04,0.05,0.06,0.06,0.07,0.09,0.1,0.12,0.14,0.23,0,0,0,0,2,18,0.83,1,1,0.96,0.59,0.58,0.8,65.7563,0.1397,0.01,0.78,0.05,0,0.17,,JA
YKIC102811_1Loc_DoubleSound,1,1100,-6,Outside,Divide,0.52,1,0.26,0.04,0.96,0.5,0.82,0.82,0,1,0,0,16,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.09,0.14,0.37,0,0,0,0,0,10,0.79,1,1,0.96,0.57,0.54,0.8,146.8756,0.7402,0.76,0.11,0.06,0.52,0.31,,JA
YKIC092911_1Loc_DoubleSound,1,1100,6,Single,Divide,0.58,0.99,0.52,0.09,0.91,0.51,0.81,0.82,0.01,0.99,0,0,9,0.06,0.06,0.07,0.08,0.1,0.1,0.12,0.12,0.11,0.09,0.08,0,0,0,0,0,9,0.79,1,1,0.96,0.51,0.51,0.8,-0.6506,0.814,0.01,0.23,0.19,0,0.58,,JA
YKIC102811_1Loc_DoubleSound,1,903,-6,Single,Divide,0.51,1,0.37,0.08,0.92,0.51,0.81,0.82,0,1,0,0,10,0.05,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.11,0.14,0.19,0,0,0,0,0,7,0.75,1,1,0.92,0.49,0.48,0.8,94.7479,0.6047,0.75,0.22,0.15,0.12,0.51,,JA
YKIC082511Loc_DoubleSound,1,903,-6,Single,Divide,0.48,0.72,0.48,0.33,0.67,0.5,0.73,0.83,0.28,0.72,0,0,6,0.08,0.07,0.07,0.07,0.08,0.09,0.11,0.13,0.12,0.11,0.09,0,0,0,2,1,2,0.75,1,1,0.96,0.47,0.46,0.8,7.6761,0.0154,0.73,0.25,0.14,0.13,0.48,,JA
YKIC102811_1Loc_DoubleSound,1,500,-6,Single,Divide,0.47,0.99,0.38,0.07,0.93,0.51,0.82,0.82,0.01,0.99,0,0,9,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.11,0.12,0.15,0.18,0,0,0,0,0,7,0.75,1,1,1,0.45,0.5,0.8,109.8434,0.0153,0.76,0.2,0.17,0.16,0.47,,JA
YKIC110111_1Loc_DoubleSound,1,903,-6,Single,Divide,0.36,0.98,0.38,0.1,0.9,0.52,0.81,0.82,0.02,0.98,0,0,5,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.12,0.16,0.15,0,0,0,0,0,4,0.96,1,0.83,1,0.44,0.43,0.8,91.7797,0.4276,0.64,0.2,0.25,0.19,0.36,,JA
YKIC110411Loc_DoubleSound,1,609,24,Mixture,Switch,0.94,0.97,0.45,0.88,0.12,0.49,0.81,0.72,0.97,0.03,0.01,0,7,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0,1,11,0,0,0,0.79,1,1,0.83,0.45,0.4,0.8,-4.2268,0.0064,0.12,0.94,0,0.01,0.04,"response to single sound A is troublesome, appears mixture like, and the poisson test pvalue is 0.0064.",JA
YKIC092311Loc_DoubleSound,1,1100,-24,Average,Divide,0.63,0.97,0.46,0.11,0.89,0.49,0.81,0.82,0.03,0.97,0,0,5,0.06,0.07,0.06,0.06,0.07,0.08,0.12,0.13,0.12,0.12,0.11,0,0,0,0,0,5,0.67,1,1,0.96,0.43,0.46,0.7,50.0324,0.4951,0.43,0.11,0.63,0.02,0.23,,JA
YKIC110111_1Loc_DoubleSound,1,609,24,Average,Divide,0.47,0.77,0.48,0.28,0.72,0.56,0.84,0.8,0.23,0.77,0,0,4,0.09,0.09,0.11,0.11,0.11,0.09,0.09,0.08,0.07,0.08,0.07,0,0,0,1,0,2,0.67,0.88,1,0.96,0.38,0.37,0.7,41.211,0.6161,0.29,0.18,0.47,0.06,0.29,,JA
YKIC110411Loc_DoubleSound,1,1100,-24,Mixture,Divide,0.91,1,0.39,0.08,0.92,0.55,0.81,0.8,0,1,0,0,17,0.04,0.05,0.05,0.06,0.06,0.07,0.09,0.11,0.14,0.16,0.16,0,0,0,0,1,15,0.67,1,1,1,0.59,0.59,0.7,93.2795,0,0.01,0.91,0.06,0,0.03,,JA
YKIC092911_1Loc_DoubleSound,1,903,6,Mixture,Divide,0.83,0.9,0.49,0.18,0.82,0.52,0.81,0.81,0.1,0.9,0,0,4,0.08,0.09,0.1,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0,0,0,0,1,4,0.71,1,1,0.92,0.38,0.44,0.7,5.3958,0.2945,0.01,0.83,0.09,0,0.08,,JA
YKIC092911_1Loc_DoubleSound,1,500,6,Mixture,Divide,0.35,0.94,0.5,0.15,0.85,0.48,0.8,0.82,0.06,0.94,0,0,7,0.06,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.11,0.1,0.09,0,0,0,0,0,8,0.71,1,1,1,0.47,0.48,0.7,0.6598,0.4949,0.01,0.35,0.13,0.18,0.34,,JA
YKIC110111_1Loc_DoubleSound,1,609,6,Outside,Divide,0.87,0.91,0.41,0.17,0.83,0.49,0.81,0.83,0.09,0.91,0.02,0,5,0.07,0.06,0.07,0.07,0.07,0.08,0.09,0.1,0.11,0.13,0.16,0,0,0,0,0,5,0.67,1,1,0.67,0.33,0.34,0.7,4.183,0.4235,0.12,0.04,0.02,0.87,0.08,,JA
YKIC102711_1Loc_DoubleSound,1,500,6,Single,Divide,0.6,0.85,0.46,0.22,0.78,0.53,0.81,0.82,0.15,0.85,0.01,0,10,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0,0,0,0,3,5,0.67,1,1,0.71,0.38,0.39,0.7,1.0351,0.2037,0.2,0.24,0.16,0,0.6,,JA
YKIC102811_1Loc_DoubleSound,1,609,-6,Single,Divide,0.53,1,0.4,0.09,0.91,0.48,0.82,0.82,0,1,0,0,7,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.1,0.11,0.14,0.19,0,0,0,0,0,7,0.67,1,1,0.96,0.47,0.5,0.7,86.5256,0.4896,0.74,0.22,0.16,0.09,0.53,,JA
YKIC090811Loc_DoubleSound,1,500,-6,Single,Divide,0.52,0.64,0.49,0.38,0.62,0.4,0.83,0.79,0.36,0.64,0,0,7,0.09,0.1,0.1,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0,0,0,3,6,0,0.67,1,1,0.92,0.4,0.37,0.7,0.412,0.4344,0.5,0.34,0.14,0,0.52,,JA
YKIC090911_1Loc_DoubleSound,1,609,-24,Single,Divide,0.52,0.66,0.44,0.36,0.64,0.36,0.8,0.83,0.34,0.66,0.02,0.06,7,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0,0,0,2,5,0,0.67,0.79,1,0.67,0.31,0.32,0.7,-0.8787,0.116,0.16,0.25,0.21,0.01,0.52,,JA
PSIC091410Loc_DoubleSound,1,1100,-6,Single,Divide,0.49,0.79,0.48,0.27,0.73,0.6,0.8,0.82,0.21,0.79,0,0.01,13,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.12,0.12,0.12,0.11,0,0,0,0,15,1,0.67,0.96,1,0.71,0.36,0.4,0.7,5.1882,0.0831,0.48,0.13,0.13,0.25,0.49,,JA
YKIC110911Loc_DoubleSound,1,903,24,Single,Divide,0.41,0.92,0.41,0.17,0.83,0.48,0.81,0.8,0.08,0.92,0,0,7,0.16,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0,0,0,0,0,4,0.67,0.75,0.96,0.79,0.34,0.34,0.7,-1.5186,0.0117,0.09,0.33,0.24,0.02,0.41,,JA
YKIC082611_1Loc_DoubleSound,1,903,-6,Outside,Switch,0.96,0.98,0.45,0.91,0.09,0.8,0.87,0.79,0.98,0.02,0,0,9,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,7,0,0,0,0.67,1,1,0.92,0.41,0.44,0.7,2.9554,0.0807,0.24,0.01,0,0.96,0.03,,JA
YKIC092311_1Loc_DoubleSound,1,500,6,Average,Divide,0.9,0.99,0.45,0.09,0.91,0.5,0.82,0.82,0.01,0.99,0,0,8,0.12,0.13,0.13,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.06,0,0,0,0,0,5,0.62,1,1,1,0.47,0.44,0.6,86.4757,0.1582,0.33,0.03,0.9,0,0.07,,JA
YKIC100111_1Loc_DoubleSound,1,609,-6,Average,Divide,0.65,0.88,0.52,0.2,0.8,0.53,0.81,0.81,0.12,0.88,0,0,5,0.08,0.09,0.1,0.11,0.12,0.11,0.1,0.08,0.07,0.07,0.06,0,0,0,0,1,6,0.62,1,1,0.96,0.42,0.47,0.6,21.0721,0.43,0.24,0.14,0.65,0.04,0.16,,JA
YKIC082611Loc_DoubleSound,1,500,-24,Average,Divide,0.35,0.89,0.49,0.2,0.8,0.49,0.81,0.82,0.11,0.89,0,0,5,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0,0,0,0,0,2,0.58,1,1,1,0.37,0.36,0.6,27.726,0.126,0.17,0.27,0.35,0.13,0.25,,JA
YKIC110111Loc_DoubleSound,1,609,24,Average,Divide,0.33,0.93,0.47,0.16,0.84,0.53,0.82,0.81,0.07,0.93,0,0,4,0.1,0.1,0.11,0.11,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0,0,0,0,0,3,0.62,0.88,1,1,0.39,0.38,0.6,50.9221,0.6171,0.3,0.2,0.33,0.15,0.32,,JA
YKIC110411Loc_DoubleSound,1,1100,6,Mixture,Divide,1,0.52,0.43,0.5,0.5,0.4,0.78,0.74,0.48,0.52,0.01,0,16,0.12,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,3,0,0,6,0,0,0.79,1,0.96,0.62,0.38,0.38,0.6,-6.5558,0.2334,0,1,0,0,0,,JA
YKIC110411Loc_DoubleSound,1,903,-6,Mixture,Divide,1,0.99,0.39,0.1,0.9,0.5,0.79,0.79,0.01,0.99,0,0,19,0.11,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.11,0.12,0.12,0,0,0,0,1,14,0.62,1,1,1,0.54,0.54,0.6,112.3492,0.6326,0.16,1,0,0,0,,JA
YKIC110911Loc_DoubleSound,1,500,-24,Mixture,Divide,0.96,1,0.31,0.06,0.94,0.48,0.81,0.81,0,1,0,0,7,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.1,0.15,0.25,0,0,0,0,0,9,0.62,1,1,1,0.42,0.53,0.6,27.2877,0.3223,0.2,0.96,0,0,0.03,,JA
YKIC090911_1Loc_DoubleSound,1,500,-6,Mixture,Divide,0.69,0.78,0.48,0.28,0.72,0.39,0.81,0.8,0.22,0.78,0,0,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.07,0,0,0,1,7,3,0.88,1,1,0.62,0.33,0.44,0.6,-1.4118,0.306,0.62,0.69,0.14,0.02,0.14,,JA
YKIC092911_1Loc_DoubleSound,1,609,-6,Mixture,Divide,0.42,0.95,0.5,0.13,0.87,0.52,0.8,0.82,0.05,0.95,0,0,7,0.06,0.07,0.07,0.08,0.09,0.1,0.11,0.12,0.11,0.1,0.09,0,0,0,0,0,6,0.62,1,1,0.96,0.45,0.42,0.6,0.3577,0.1133,0.5,0.42,0.24,0.03,0.31,,JA
YKIC082511Loc_DoubleSound,1,903,6,Outside,Divide,0.45,0.52,0.45,0.49,0.51,0.62,0.81,0.82,0.48,0.52,0,0,6,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,1,0,0,1,0,0,0.62,0.92,0.88,0.83,0.33,0.33,0.6,-1.0694,0.8158,0.22,0.17,0.16,0.45,0.22,,JA
YKIC081911Loc_DoubleSound,1,500,24,Outside,Divide,0.41,0.56,0.47,0.45,0.55,0.59,0.83,0.81,0.44,0.56,0.01,0,5,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.08,1,0,0,3,1,0,0.58,1,1,1,0.4,0.33,0.6,-0.7932,0.4303,0.44,0.16,0.1,0.41,0.33,,JA
