Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC091010Loc_DoubleSound,0,1,609,24,0.491880996,0.12619607,0.083074418,0.298848516,Mixture,0.491880996,0.13,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,500,24,0.949715967,0.030586629,0.003059841,0.016637563,Mixture,0.949715967,0.11,0.11,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,903,-24,0.792184279,0.145939776,3.32E-05,0.061842699,Mixture,0.792184279,0.1,0.11,0.09,0.08,0.09,0.09,0.08,0.08,0.1,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,500,6,0.365526373,0.187173956,8.51E-05,0.447214539,Single,0.447214539,0.07,0.07,0.08,0.07,0.09,0.07,0.09,0.11,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,1100,-6,0.195414623,0.371156413,0.004657708,0.428771255,Single,0.428771255,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,1100,-24,0.139432288,0.819651374,0.004282252,0.036634085,Average,0.819651374,0.07,0.07,0.09,0.08,0.08,0.09,0.1,0.1,0.11,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,903,-24,0.128203148,0.266244777,0.083422337,0.522129739,Single,0.522129739,0.07,0.07,0.07,0.08,0.08,0.1,0.1,0.1,0.1,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,903,-6,0.293927746,0.438707969,0.042221686,0.225142599,Average,0.438707969,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,609,6,0.123448807,0.414770996,0.061315125,0.400465072,Average,0.414770996,0.1,0.08,0.09,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,1100,6,0.382296762,0.386061688,0.027360413,0.204281138,Average,0.386061688,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,500,6,0.729729496,0.181285641,0.010839251,0.078145612,Mixture,0.729729496,0.1,0.09,0.1,0.1,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,1100,-24,0.247222128,0.729228581,0.002091512,0.021457779,Average,0.729228581,0.07,0.08,0.08,0.1,0.08,0.1,0.09,0.1,0.09,0.09,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,903,24,0.510590617,0.213293282,0.000979384,0.275136717,Mixture,0.510590617,0.11,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,903,-24,0.448233091,0.473197756,0.006810145,0.071759008,Average,0.473197756,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,1100,24,0.199298471,0.453367727,0.000132908,0.347200893,Average,0.453367727,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091510Loc_DoubleSound,0,1,609,6,0.140853548,0.453148863,0.062073594,0.343923995,Average,0.453148863,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091610Loc_DoubleSound,0,1,903,-24,0.931148966,0.060383704,0.000924335,0.007542995,Mixture,0.931148966,0.09,0.08,0.08,0.08,0.09,0.08,0.1,0.09,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091610Loc_DoubleSound,0,1,1100,-24,0.615873632,0.094079653,0.049925995,0.240120721,Mixture,0.615873632,0.07,0.07,0.07,0.07,0.07,0.09,0.08,0.08,0.11,0.13,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091610Loc_DoubleSound,0,1,1100,-6,0.464829913,0.132141268,0.000779714,0.402249105,Mixture,0.464829913,0.15,0.12,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091710Loc_DoubleSound,0,1,1100,-24,0.898196644,0.090115216,0.00116066,0.01052748,Mixture,0.898196644,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
